user_id,overall_rating,food,service,atmosphere,price,drink
1,4.0,4.0,4.0,3.2,4.0,4.0
2,5.0,5.0,5.0,5.0,5.0,4.0
3,3.5,3.5,3.5,3.2,3.5,3.5
4,3.4,3.4,3.4,3.2,3.4,3.4
5,3.0,3.0,3.0,3.2,3.0,3.0
6,5.0,5.0,5.0,3.2,5.0,5.0
7,5.0,5.0,5.0,3.2,5.0,5.0
8,4.5,4.5,4.5,3.2,4.5,4.5
9,2.0,2.0,2.0,3.2,2.0,2.0
11,3.0,3.0,3.0,3.2,3.0,3.0
12,2.9,2.9,2.9,3.2,2.9,2.9
13,3.0,3.0,3.0,3.2,3.0,3.0
14,3.4,3.4,3.4,3.4,3.4,3.4
15,3.3,3.3,3.3,3.2,3.3,3.3
16,3.2,3.3,3.3,3.0,3.0,3.2
17,3.8,4.0,4.0,3.5,3.5,3.7
18,3.3,4.0,3.5,4.0,4.0,3.7
19,2.0,2.0,2.0,3.2,2.0,2.0
20,3.0,3.0,3.0,3.2,3.0,3.0
21,3.5,3.5,3.5,3.2,3.5,3.5
22,3.5,3.5,3.5,3.2,3.5,3.5
23,3.0,3.0,3.0,3.0,3.0,3.0
24,3.4,3.7,3.4,3.4,3.4,3.4
25,3.5,3.6,5.0,4.0,3.0,3.0
26,3.5,4.0,3.5,3.5,3.5,3.5
27,4.1,4.5,4.0,4.0,4.5,3.5
28,4.0,4.0,4.0,3.2,4.0,4.0
30,3.2,3.2,3.2,3.2,3.2,3.2
31,3.5,3.5,3.5,3.2,3.5,3.5
32,3.8,3.8,3.8,3.2,3.8,3.8
33,3.4,3.4,3.4,3.2,3.4,3.4
34,5.0,5.0,5.0,3.2,5.0,5.0
35,2.5,2.5,2.5,3.2,2.5,2.5
36,3.5,3.5,3.0,3.0,3.0,3.0
37,3.7,3.7,3.7,3.2,3.7,3.7
38,3.3,3.3,3.5,3.3,3.4,3.4
40,3.0,3.0,3.0,3.2,3.0,3.0
41,3.2,3.2,3.2,3.2,3.2,3.2
42,3.6,3.2,3.0,2.8,2.6,3.0
43,4.0,4.0,4.0,3.2,4.0,4.0
44,3.0,3.0,3.0,3.2,3.0,3.0
45,3.5,3.5,3.5,3.2,3.5,3.5
46,3.0,3.0,3.0,3.2,3.0,3.0
47,4.0,4.0,4.0,3.2,4.0,4.0
48,2.5,2.5,2.5,3.2,2.5,2.5
49,3.0,3.0,3.0,3.2,3.0,3.0
50,4.0,4.0,4.0,3.2,4.0,4.0
51,3.2,3.3,3.2,3.1,3.2,3.2
52,3.0,3.0,3.0,3.2,3.0,3.0
53,3.0,3.0,3.0,3.0,3.0,3.0
54,3.2,3.2,3.2,3.2,3.2,3.2
55,3.2,3.2,3.2,3.2,3.2,3.2
56,3.2,3.2,3.2,3.2,3.2,3.2
57,2.7,3.0,2.5,3.0,2.5,2.6
58,3.3,3.3,2.5,2.0,3.0,3.1
59,2.0,3.0,3.0,3.0,2.0,2.1
60,3.0,3.0,3.0,3.0,3.0,3.0
61,3.0,3.0,3.0,3.0,3.0,3.0
62,3.0,3.0,3.5,3.0,2.5,2.8
64,2.6,2.6,2.6,2.6,2.6,2.6
