,Unnamed: 0,store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
0,0,1,シュラスコ&シカゴピザ食べ放題 個室肉バル Mission 新宿西口店,3.04,東京都内,86,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,107,24,6
1,1,2,Mon an 新丸ビル,3.44,東京都内,111,"￥2,000～￥2,999",2000.0,2999.0,"￥8,000～￥9,999",8000,9999,91,9,16
2,2,3,神田まぐろ漁港,3.33,東京都内,183,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,220,5,7
3,3,4,鮨利﨑 青山,3.61,東京都内,311,-,,,"￥15,000～￥19,999",15000,19999,294,3,24
4,4,5,ジビエ×ビストロ Lave,3.28,東京都内,89,-,,,"￥6,000～￥7,999",6000,7999,141,0,6
5,5,6,くつろぎ・うま酒 かこいや 丸の内二丁目店,3.21,東京都内,316,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,100,26,14
6,6,7,日本料理 縁,3.36,東京都内,71,"￥3,000～￥3,999",3000.0,3999.0,"￥6,000～￥7,999",6000,7999,186,29,64
7,7,8,居酒屋 晴れ舞亭 水道橋駅前店,3.25,東京都内,81,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,235,9,28
8,8,9,焼肉うしごろ 銀座店,3.71,東京都内,654,"￥8,000～￥9,999",8000.0,9999.0,"￥10,000～￥14,999",10000,14999,421,32,37
9,9,10,uogin 新橋店,3.01,東京都内,13,"￥3,000～￥3,999",3000.0,3999.0,"￥4,000～￥4,999",4000,4999,33,9,0
10,10,11,あぶり清水 新宿西口ハルク店,3.16,東京都内,61,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,119,20,13
11,11,12,田町にセンバネ,3.4,東京都内,211,-,,,"￥5,000～￥5,999",5000,5999,264,8,15
12,12,13,O'denbar うまみ 新橋,3.08,東京都内,12,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,96,7,40
13,13,14,三と十,3.48,東京都内,163,-,,,"￥10,000～￥14,999",10000,14999,273,0,12
14,14,15,アジアンビストロ ローカル,3.06,東京都内,42,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,145,11,30
15,15,16,Bistro d'ami,3.37,東京都内,105,-,,,"￥6,000～￥7,999",6000,7999,132,2,6
16,16,17,個室会席 北大路 京橋茶寮 東京駅店,3.27,東京都内,165,"￥3,000～￥3,999",3000.0,3999.0,"￥10,000～￥14,999",10000,14999,179,10,27
17,17,18,すし土風炉 六本木店,3.16,東京都内,46,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,169,5,24
18,18,19,兜 中目黒 別邸,3.31,東京都内,115,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,89,0,1
19,19,20,個室居酒屋 茨城の恵み 水戸屋 品川店,3.12,東京都内,72,"￥3,000～￥3,999",3000.0,3999.0,"￥3,000～￥3,999",3000,3999,245,12,39
20,20,21,肉懐石 凜然,3.58,東京都内,296,"￥8,000～￥9,999",8000.0,9999.0,"￥15,000～￥19,999",15000,19999,572,57,115
21,21,22,安老爺炭火蛙鍋 上野店,3.12,東京都内,38,"￥2,000～￥2,999",2000.0,2999.0,"￥2,000～￥2,999",2000,2999,110,24,35
22,22,23,酒場Tokyo,3.16,東京都内,24,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,126,47,13
23,23,24,GREEN HOUSE by MERCER BRUNCH 二子玉川,3.48,東京都内,459,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,105,9,21
24,24,25,鶏とセイロ蒸 キンクラ 十条店,3.12,東京都内,23,-,,,"￥3,000～￥3,999",3000,3999,133,15,13
25,25,26,Strada,3.24,東京都内,38,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,157,155,90
26,26,27,魚と日本酒 魚バカ一代 新橋本店,3.4,東京都内,229,-,,,"￥4,000～￥4,999",4000,4999,87,3,11
27,27,28,藁焼き・日本酒 わらやき道場 有楽町,3.02,東京都内,120,-,,,"￥3,000～￥3,999",3000,3999,311,12,9
28,28,29,麻辣大学 上野本店,3.49,東京都内,473,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,121,4,4
29,29,30,個室居酒屋 酔月 新宿店,3.09,東京都内,55,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,117,58,8
30,30,31,手作り居酒屋 たぬき,3.08,東京都内,32,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,138,122,31
31,31,32,個室会席 北大路 八重洲茶寮,3.25,東京都内,157,"￥3,000～￥3,999",3000.0,3999.0,"￥10,000～￥14,999",10000,14999,158,20,28
32,32,33,焼鶏あきら 中目黒本店,3.48,東京都内,570,-,,,"￥5,000～￥5,999",5000,5999,128,5,12
33,33,34,焼肉会席 舌牛 銀座店,3.46,東京都内,219,"￥3,000～￥3,999",3000.0,3999.0,"￥8,000～￥9,999",8000,9999,183,0,6
34,34,35,凛音,3.26,東京都内,135,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,88,21,11
35,35,36,ふくよし 新宿本店,3.0,東京都内,9,"￥2,000～￥2,999",2000.0,2999.0,"￥2,000～￥2,999",2000,2999,1,18,1
36,36,37,飯田橋 喝采,3.46,東京都内,219,-,,,"￥8,000～￥9,999",8000,9999,201,6,45
37,37,38,新橋三丁目魚市場,3.3,東京都内,37,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,126,38,5
38,38,39,築地かに祭り,3.4,東京都内,160,"￥2,000～￥2,999",2000.0,2999.0,"￥5,000～￥5,999",5000,5999,113,22,116
39,39,40,六本木 かき心,3.36,東京都内,128,-,,,"￥10,000～￥14,999",10000,14999,207,2,11
40,40,41,鉄板串 燻製 MOKU 大森店,3.39,東京都内,129,～￥999,1.0,999.0,"￥4,000～￥4,999",4000,4999,120,20,30
41,41,42,和牛船 日乃丸,3.32,東京都内,41,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,133,18,41
42,42,43,中落ち100円の居酒屋 まぐろんち 高田馬場駅前店,3.39,東京都内,211,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,48,12,21
43,43,44,過門香 銀座本店,3.48,東京都内,802,"￥3,000～￥3,999",3000.0,3999.0,"￥6,000～￥7,999",6000,7999,183,4,16
44,44,45,すし土風炉 銀座一丁目店,3.09,東京都内,234,～￥999,1.0,999.0,"￥4,000～￥4,999",4000,4999,66,38,5
45,45,46,和食日和 おさけと 京橋,3.06,東京都内,17,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,109,42,22
46,46,47,日本橋 鳥久,3.48,東京都内,387,～￥999,1.0,999.0,"￥5,000～￥5,999",5000,5999,237,22,16
47,47,48,俺のイタリアン 東京,3.45,東京都内,1209,"￥2,000～￥2,999",2000.0,2999.0,"￥4,000～￥4,999",4000,4999,166,2,4
48,48,49,炭火ビストロ ゴーバル 中野店,3.45,東京都内,338,-,,,"￥3,000～￥3,999",3000,3999,162,2,5
49,49,50,酒場 心 新宿本店,3.06,東京都内,35,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,55,20,15
50,50,51,江南府,3.01,東京都内,17,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,368,16,71
51,51,52,南青山とりや幸,3.44,東京都内,118,-,,,"￥10,000～￥14,999",10000,14999,280,47,13
52,52,53,NO.1 焼肉しゃぶしゃぶ 食べ放題 歌舞伎町店,3.06,東京都内,69,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,109,17,15
53,53,54,タント タント ザ・ガーデンズ五反田店,3.35,東京都内,175,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,196,6,21
54,54,55,いろは 本店,3.48,東京都内,435,"￥2,000～￥2,999",2000.0,2999.0,"￥4,000～￥4,999",4000,4999,111,1,3
55,55,56,なゝ樹 中目黒店,3.28,東京都内,170,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,114,18,49
56,56,57,餃子 小籠包 福包酒場 新宿店,3.08,東京都内,48,-,,,"￥2,000～￥2,999",2000,2999,220,26,59
57,57,58,東京コトブキ 東京駅店,3.49,東京都内,533,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,97,18,40
58,58,59,なゝ樹 本店,3.46,東京都内,595,-,,,"￥5,000～￥5,999",5000,5999,116,3,11
59,59,60,天厨菜館 銀座店,3.47,東京都内,210,"￥2,000～￥2,999",2000.0,2999.0,"￥8,000～￥9,999",8000,9999,211,11,16
60,60,61,うすけぼー 昭和通日本橋店,3.25,東京都内,75,～￥999,1.0,999.0,"￥5,000～￥5,999",5000,5999,101,12,6
61,61,62,ハース,3.49,東京都内,972,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,115,9,34
62,62,63,MATOI-YA 表参道店,3.23,東京都内,102,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,78,5,49
63,63,64,匠ダイニング 町田北口店,3.08,東京都内,47,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,200,110,31
64,64,65,ボンサイ,3.12,東京都内,34,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,163,15,37
65,65,66,炭火焼き酒場 まるや 新橋店,3.02,東京都内,10,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,64,34,6
66,66,67,ビストロRoot,3.05,東京都内,12,-,,,"￥5,000～￥5,999",5000,5999,118,15,27
67,67,68,産地直送 五丁目酒場,3.02,東京都内,26,-,,,"￥3,000～￥3,999",3000,3999,49,91,5
68,68,69,福丸,3.0,東京都内,15,"￥3,000～￥3,999",3000.0,3999.0,"￥3,000～￥3,999",3000,3999,17,35,0
69,69,70,とりしん,3.42,東京都内,190,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,116,17,44
70,70,71,石庫門 高田馬場店,3.39,東京都内,359,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,95,35,19
71,71,72,赤坂 転石亭 HANARE,3.47,東京都内,235,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,163,63,42
72,72,73,新宿 鮨 よこ田,3.4,東京都内,320,"￥5,000～￥5,999",5000.0,5999.0,"￥8,000～￥9,999",8000,9999,323,11,28
73,73,74,Che Voglia!  三越前コレド室町1,3.48,東京都内,483,"￥2,000～￥2,999",2000.0,2999.0,"￥4,000～￥4,999",4000,4999,131,1,17
74,74,75,旨いマグロと海鮮居酒屋 漁火 新橋店,3.23,東京都内,49,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,189,15,26
75,75,76,杏梨　チャイニーズキッチン 品川インターシティ店,3.44,東京都内,162,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,92,5,16
76,76,77,炭火焼ホルモン ぐう 新宿,3.57,東京都内,338,-,,,"￥4,000～￥4,999",4000,4999,235,5,15
77,77,78,肉割烹 肉かぶく,3.55,東京都内,308,-,,,"￥10,000～￥14,999",10000,14999,360,30,54
78,78,79,銀座 山科,3.69,東京都内,1014,"￥6,000～￥7,999",6000.0,7999.0,"￥10,000～￥14,999",10000,14999,297,5,11
79,79,80,ペスケリア・ラ・ルーナ・ロッサ,3.45,東京都内,187,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,153,70,26
80,80,81,BOMBAY SIZZLERS,3.47,東京都内,160,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,111,10,12
81,81,82,カフェ&グリル シズルガズル 渋谷ヒカリエ店,3.24,東京都内,302,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,77,1,6
82,82,83,鳥楽酒場 新宿店,3.02,東京都内,8,-,,,"￥2,000～￥2,999",2000,2999,43,8,2
83,83,84,くつろぎ・うま酒 かこいや 丸の内オアゾ店,3.14,東京都内,214,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,87,2,3
84,84,85,岩桧葉,3.27,東京都内,37,-,,,"￥15,000～￥19,999",15000,19999,454,32,45
85,85,86,鮨 麻葉,3.51,東京都内,58,-,,,"￥30,000～￥39,999",30000,39999,316,12,60
86,86,87,ブラチェリア バーヴァ,3.42,東京都内,178,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,105,7,9
87,87,88,Anchor Point,3.48,東京都内,351,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,117,7,18
88,88,89,たくあん・牡丹亭,3.43,東京都内,209,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,149,43,86
89,89,90,居酒屋餃子酒場,3.14,東京都内,43,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,136,55,11
90,90,91,魚魯魚魯 東陽町店,3.38,東京都内,138,～￥999,1.0,999.0,"￥4,000～￥4,999",4000,4999,118,34,17
91,91,92,丈,3.2,東京都内,12,-,,,"￥15,000～￥19,999",15000,19999,304,21,43
92,92,93,お好み焼・鉄板焼 88 パチパチ 有楽町本店,3.48,東京都内,533,"￥2,000～￥2,999",2000.0,2999.0,"￥6,000～￥7,999",6000,7999,138,11,20
93,93,94,Yd'or,3.08,東京都内,12,-,,,"￥20,000～￥29,999",20000,29999,375,9,25
94,94,95,炭火焼き鳥 完全個室居酒屋 はなび 上野店,3.01,東京都内,114,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,222,9,7
95,95,96,近江牛もりしま 寛閑観ここ滋賀店,3.38,東京都内,51,"￥2,000～￥2,999",2000.0,2999.0,"￥6,000～￥7,999",6000,7999,274,4,17
96,96,97,真八酒場,3.06,東京都内,8,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,63,6,7
