user_id,overall_rating,food,service,atmosphere,price,drink
000001,4.5,4.5,4.5,4.5,4.5,
000002,4.2,,,,,
000003,4.1,4.3,4.0,3.8,3.9,3.0
000004,4.5,,,,,
000005,5.0,,,,,
000006,5.0,5.0,5.0,5.0,5.0,5.0
000007,4.3,4.8,5.0,4.5,3.3,3.3
000008,4.0,4.5,4.0,4.0,3.5,
000009,3.8,,,,,
000010,3.8,,,,,
000011,5.0,5.0,5.0,5.0,5.0,5.0
000012,3.6,,,,,
000013,4.4,4.4,4.4,4.4,4.2,4.0
000014,4.9,5.0,5.0,4.5,5.0,4.9
000015,3.8,,,,,
000016,4.0,,,,,
000017,5.0,,,,,
000018,4.2,4.2,4.0,4.2,4.0,
000019,4.2,4.5,4.0,3.5,4.0,
000020,5.0,,,,,
000021,4.9,5.0,5.0,5.0,5.0,4.9
000022,4.5,,,,,
000023,4.2,4.5,4.5,4.5,3.5,4.0
000024,4.2,,,,,
000025,4.9,5.0,5.0,5.0,4.5,
000026,4.6,,,,,
000027,4.2,,,,,
000028,4.6,,,,,
000029,3.9,,,,,
000030,4.5,,,,,
000031,4.0,,,,,
000032,4.3,4.3,4.3,4.3,4.3,
000033,3.9,,,,,
000034,4.1,,,,,
000035,3.4,3.4,3.1,3.2,2.5,2.5
000036,4.2,4.2,4.0,4.0,3.2,
000037,4.0,4.0,3.8,3.7,3.2,
000038,4.8,4.8,5.0,4.5,4.3,4.0
000039,4.8,,,,,
000040,4.5,,,,,
000041,4.9,,,,,
000042,5.0,,,,,
000043,4.4,4.4,4.4,4.4,4.0,4.1
000044,4.5,,,,,
000045,4.0,4.5,4.5,4.5,4.5,
000046,5.0,5.0,5.0,5.0,4.0,4.0
000047,4.3,4.3,4.3,4.3,1.5,
000048,4.5,,,,,
000049,4.2,,,,,
000050,4.2,4.3,4.2,4.2,4.0,
000051,4.2,4.2,4.2,4.2,4.0,
000052,5.0,5.0,5.0,5.0,5.0,
000053,4.8,5.0,5.0,5.0,4.2,
000054,4.5,,,,,
000055,4.4,,,,,
000056,4.4,,,,,
000057,4.2,4.2,4.0,4.5,3.5,
000058,4.2,,,,,
000059,5.0,,,,,
000060,4.5,,,,,
000061,4.3,4.3,4.3,4.3,4.0,4.1
000062,4.0,,,,,
000063,4.0,,,,,
000064,4.8,4.8,5.0,4.5,4.0,
000065,4.7,4.7,4.9,4.9,4.5,
000066,5.0,,,,,
000067,4.4,4.5,4.5,4.2,4.2,
000069,4.3,4.3,4.5,4.5,3.5,
000070,4.3,,,,,
000071,3.8,,,,,
000072,4.1,,,,,
000073,5.0,,,,,
000074,4.0,,,,,
000075,4.6,,,,,
000076,4.0,4.5,4.0,4.0,3.5,
000077,4.0,4.5,4.0,4.0,3.5,4.0
000078,5.0,,,,,
000079,4.2,4.2,4.2,4.2,4.2,
000080,4.8,4.8,4.8,4.8,4.3,4.0
000081,5.0,,,,,
000082,3.6,3.6,3.3,3.3,3.0,
000083,5.0,,,,,
000084,4.2,4.2,4.2,4.2,4.0,
000085,4.2,4.3,4.0,4.0,3.9,
000086,4.5,4.5,4.5,4.5,3.5,4.5
000087,4.8,4.8,4.8,4.8,4.8,4.8
000088,4.5,4.5,4.5,4.5,4.5,4.5
000089,4.5,,,,,
000090,4.5,4.5,4.0,4.0,4.0,4.0
000091,4.2,4.2,4.0,4.0,3.5,4.2
000092,4.5,5.0,5.0,4.0,4.0,
000093,4.5,,,,,
000094,5.0,,,,,
000095,4.5,,,,,
000096,4.0,,,,,
000097,3.5,,,,,
000098,3.8,,,,,
000099,3.8,,,,,
000100,4.3,4.3,4.4,4.3,4.1,
000101,4.0,4.0,4.0,3.8,3.5,
000102,4.0,,,,,
000103,4.0,4.0,4.0,4.0,4.0,4.0
000104,5.0,,,,,
000105,4.4,,,,,
000106,5.0,,,,,
000107,4.2,4.2,4.2,4.0,4.0,
000108,4.2,,,,,
000109,4.5,4.5,4.5,4.5,4.5,
000110,4.5,,,,,
000111,4.3,,,,,
000112,4.0,,,,,
000113,4.8,,,,,
000114,5.0,,,,,
000115,3.9,3.9,3.9,4.0,3.6,
000116,4.5,,,,,
000117,3.9,3.9,4.0,3.9,3.5,3.6
000118,4.0,,,,,
000119,4.4,,,,,
000120,5.0,5.0,5.0,5.0,4.0,4.0
000121,4.1,,,,,
000122,4.3,,,,,
000123,2.5,,,,,
000124,4.5,,,,,
000125,5.0,,,,,
000126,4.2,,,,,
000127,5.0,5.0,5.0,5.0,5.0,
000128,4.6,,,,,
000129,4.0,4.0,4.0,4.0,4.0,
000130,4.0,,,,,
000131,5.0,,,,,
000132,3.5,,,,,
000133,4.5,,,,,
000134,4.5,,,,,
000135,5.0,,,,,
000136,4.3,,,,,
000137,4.3,,,,,
000138,5.0,5.0,5.0,4.0,4.0,
000139,3.8,,,,,
000140,5.0,,,,,
000141,4.2,,,,,
000142,4.2,4.2,3.5,4.0,3.5,
000143,4.2,4.2,3.5,4.0,3.5,
000144,4.2,4.2,4.2,4.2,4.0,
000145,4.4,4.4,4.4,4.4,4.4,4.4
000146,4.0,4.0,4.0,4.0,4.0,
000147,4.6,,,,,
000148,5.0,4.5,5.0,5.0,3.0,5.0
000149,5.0,4.5,5.0,5.0,3.0,5.0
000150,4.2,,,,,
000151,3.9,3.9,3.3,3.5,3.0,
000152,4.0,4.5,4.5,4.5,3.5,
000153,4.0,4.5,4.5,4.5,3.0,
000154,5.0,,,,,
000155,4.5,,,,,
000156,4.2,,,,,
000157,4.3,,,,,
000158,4.3,,,,,
000159,4.1,,,,,
000160,4.5,,,,,
000161,4.0,,,,,
000162,4.0,3.9,4.5,4.5,4.6,4.6
000163,3.4,3.5,4.0,4.0,2.9,
000164,4.9,5.0,4.9,5.0,4.9,4.5
000165,4.5,4.5,4.5,4.5,1.0,
000166,4.5,4.5,4.5,4.5,1.0,
000167,4.5,,,,,
000168,4.4,4.4,4.0,4.0,3.5,
000169,4.1,,,,,
000170,4.0,,,,,
000171,4.4,,,,,
000172,4.5,5.0,5.0,5.0,4.0,
000173,5.0,,,,,
000174,4.4,,,,,
000175,3.9,,,,,
000176,4.2,,,,,
000177,4.0,4.1,4.0,3.9,3.8,
000178,4.5,,,,,
000179,4.1,4.1,4.5,4.5,4.2,4.0
000180,4.0,4.1,4.0,3.5,4.0,
000181,4.5,,,,,
000182,4.0,,,,,
000183,4.8,5.0,5.0,5.0,4.0,
000184,4.3,,,,,
000185,4.3,,,,,
000186,4.0,3.9,4.0,,,
000187,4.5,,,,,
000188,3.9,3.9,3.5,3.9,3.9,
000189,4.8,,,,,
000190,3.8,,,,,
000191,4.6,4.6,4.6,4.6,4.6,4.0
000192,5.0,,,,,
000193,4.8,,5.0,,,
000194,4.0,4.5,4.5,4.5,3.0,
000195,4.3,,,,,
000196,3.5,,,,,
000197,4.5,,,,,
000198,4.5,4.5,4.5,4.5,4.5,4.0
000199,4.5,4.5,4.5,4.5,3.5,
000200,3.7,,,,,
000201,5.0,,,,,
