user_id,overall_rating,food,service,atmosphere,price,drink
000001,3.5,,,,,
000002,4.5,,,,,
000003,4.0,,,,,
000004,4.5,,,,,
000005,3.4,3.4,3.4,3.5,3.5,3.4
000006,3.4,,,,,
000007,2.0,2.0,2.0,2.5,2.5,2.0
000008,4.0,,,,,
000009,3.5,,,,,
000010,3.5,,,,,
000011,4.0,3.5,3.5,4.0,3.0,4.0
000012,4.0,,,,,
000013,4.3,,,,,
000014,4.0,,,,,
000015,3.6,,,,,
000016,4.0,4.1,3.9,4.3,4.0,
000017,3.6,,,,,
000018,3.4,3.4,3.3,3.4,3.4,3.5
000019,3.5,3.5,3.4,3.6,3.3,
000020,4.0,,,,,
000021,4.2,4.4,4.2,3.8,4.3,4.0
000022,4.1,4.5,4.1,4.3,4.1,3.5
000023,4.0,,,,,
000024,3.5,,,,,
000025,4.0,4.5,4.5,4.5,4.0,4.0
000026,4.0,4.5,5.0,4.0,4.0,
000027,4.5,,,,,
000028,3.0,,,,,
000029,4.0,,,,,
000030,4.0,4.0,3.7,3.7,4.0,3.7
000031,4.0,,,,,
000032,2.8,2.5,2.7,3.0,2.7,
000033,3.0,,,,,
000034,4.0,,,,,
000035,1.5,,,,,
000036,3.5,,,,,
000037,4.0,,,,,
000038,3.7,,,,,
000039,4.5,,,,,
000040,4.0,4.0,4.5,4.5,4.0,3.0
000041,3.1,,,,,
000042,4.5,,,,,
000043,2.5,,,,,
000044,5.0,,,,,
000045,3.8,,,,,
000047,4.1,4.4,3.8,4.1,4.5,4.0
000048,3.4,3.5,3.5,4.0,3.0,
000049,3.8,4.0,4.0,3.5,4.5,3.0
000050,3.5,3.5,3.5,3.5,4.0,4.0
000051,4.3,4.3,4.5,4.0,4.5,4.0
000052,2.3,2.3,3.0,2.7,2.7,2.3
000053,2.9,2.5,2.5,3.0,3.0,2.5
000054,4.3,4.3,3.5,3.7,4.7,3.5
000055,3.9,4.2,3.0,3.0,4.0,4.0
