user_id,overall_rating,food,service,atmosphere,price,drink
000001,4.8,,,,,
000002,4.3,4.3,4.3,4.3,4.3,4.3
000003,3.5,,,,,
000004,4.5,,,,,
000005,4.8,,,,,
000006,3.0,3.1,3.3,3.4,2.9,3.0
000007,4.2,4.3,4.4,4.5,3.5,4.2
000008,4.3,4.4,4.0,4.0,3.3,3.8
000009,4.3,,,,,
000010,4.0,,,,,
000011,3.0,,,,,
000012,4.5,,,,,
000013,5.0,,,,,
000014,3.5,,,,,
000015,4.7,,,,,
000016,3.4,4.1,3.0,3.3,3.3,3.3
000017,3.5,,,,,
000018,4.1,4.1,4.1,4.1,4.0,4.0
000019,4.5,,,,,
000020,4.9,5.0,5.0,4.5,5.0,5.0
000021,3.5,,,,,
000022,4.3,5.0,5.0,4.5,,
000023,4.3,4.3,4.4,4.2,4.2,
000024,4.4,4.4,4.5,4.0,4.4,4.0
000025,2.0,2.0,2.5,2.0,1.2,
000026,4.9,4.9,5.0,5.0,5.0,5.0
000027,4.5,,,,,
000028,3.8,4.0,3.5,3.3,4.0,3.5
000029,4.3,,,,,
000030,4.0,,,,,
000031,5.0,4.5,4.0,4.0,3.0,3.0
000032,4.0,,,,,
000033,3.8,,,,,
000034,4.5,,,,,
000036,3.6,3.6,3.4,3.4,3.3,3.3
000037,4.2,,,,,
000038,4.0,4.5,4.5,4.0,3.0,3.5
000039,3.9,,,,,
000040,4.1,,,,,
000041,3.7,,,,,
000042,4.2,,,,,
000043,5.0,,,,,
000044,5.0,,,,,
000045,4.1,,,,,
000046,3.5,,,,,
000047,5.0,,,,,
000048,4.8,,,,,
000049,5.0,,,,,
000050,4.2,,,,,
000051,4.6,4.6,5.0,4.6,4.8,4.7
000052,4.2,4.3,4.1,4.1,4.2,4.2
000053,3.8,4.0,3.5,4.0,3.0,3.0
000054,4.2,,,,,
000055,4.2,,,,,
000056,4.5,,,,,
000057,4.0,,,,,
000058,4.5,,,,,
000059,4.5,,,,,
000060,5.0,,,,,
000061,3.6,3.6,3.6,3.6,3.6,3.6
000062,5.0,5.0,5.0,5.0,4.5,4.5
000063,5.0,,,,,
000064,4.2,,,,,
000065,4.5,5.0,4.5,4.0,4.0,
000067,4.9,,,,,
000068,4.0,,,,,
000069,4.0,,,,,
000070,4.5,,,,,
000071,4.4,,,,,
000072,3.3,,,,,
000073,4.3,,,,,
000074,4.0,4.2,4.0,4.0,3.7,3.8
000075,3.2,,,,,
000076,3.5,3.5,3.5,3.5,3.5,3.0
000077,4.5,4.5,4.5,5.0,3.0,3.0
000078,4.2,,,,,
000079,3.5,,,,,
000080,3.6,,,,,
000081,3.5,,,,,
000082,4.5,,,,,
000083,4.0,,,,,
000084,4.0,,,,,
000085,4.0,,,,,
000086,4.5,4.5,4.0,4.5,3.5,4.0
000087,3.5,,,,,
000088,3.7,4.0,3.0,3.8,3.5,3.5
000089,3.5,,,,,
000090,4.2,,,,,
000091,4.2,,,,,
000092,4.9,4.9,4.8,5.0,4.8,4.9
000093,2.0,,,,,
000094,3.5,,,,,
000095,4.0,,,,,
000096,4.0,,,,,
000097,3.9,3.9,4.0,3.8,3.9,3.9
000098,4.2,,,,,
000099,4.5,,,,,
000100,4.3,,,,,
000101,4.0,,,,,
000102,5.0,,,,,
000103,4.2,,,,,
000104,4.4,,,,,
000105,4.0,,,,,
000106,5.0,,,,,
000107,4.0,,,,,
000108,4.2,,,,,
000109,3.5,5.0,3.5,3.5,3.5,3.0
000110,2.5,2.5,2.0,3.0,2.5,3.0
000111,4.1,,,,,
000112,3.8,,,,,
000113,5.0,,,,,
000114,3.5,3.8,3.5,3.2,3.0,3.0
000115,3.7,3.8,3.6,3.6,3.4,
000116,3.5,,,,,
000117,3.9,3.9,3.8,3.8,3.7,3.8
000118,4.0,4.0,4.0,4.0,4.0,4.0
000119,4.5,,,,,
000120,5.0,,,,,
000121,4.0,,,,,
000122,4.3,,,,,
000123,4.5,,,,,
000124,4.0,,,,,
000125,5.0,,,,,
000126,4.5,,,,,
000127,4.5,,,,,
000128,4.0,,,,,
000129,4.7,,,,,
000130,5.0,,,,,
000131,5.0,,,,,
000132,4.0,,,,,
000133,4.5,,,,,
000134,4.0,,,,,
000135,4.5,,,,,
000136,5.0,,,,,
000137,3.2,,,,,
000138,4.0,,,,,
000139,4.0,,,,,
000140,4.0,,,,,
000141,4.1,,,,,
000142,4.5,,,,,
000143,2.0,,,,,
000144,4.6,,,,,
000145,4.5,,,,,
000146,5.0,,,,,
000147,4.5,,,,,
000148,4.5,5.0,4.5,4.0,,
000149,5.0,,,,,
000150,3.7,3.7,3.7,3.7,3.7,3.7
000151,3.3,,,,,
000152,5.0,,,,,
000153,3.9,,,,,
000154,3.8,,,,,
000155,4.5,,,,,
000156,3.8,,,,,
000157,3.7,,,,,
000158,4.2,,,,,
000159,3.8,,,,,
000160,4.3,,,,,
000161,4.5,,,,,
000162,3.6,,,,,
000163,3.5,,,,,
000164,3.5,3.7,3.4,3.3,,3.5
000165,4.1,,,,,
000166,4.5,,,,,
000167,4.0,,,,,
000168,3.5,,,,,
000169,3.5,,,,,
000170,4.0,,,,,
000171,4.0,,,,,
000172,4.0,,,,,
000173,3.5,4.0,4.0,3.0,3.0,3.0
000174,5.0,,,,,
000175,3.5,,,,,
000176,3.3,,,,,
000177,4.0,,,,,
000178,4.0,,,,,
000179,4.7,,,,,
000180,5.0,,,,,
000181,4.5,4.5,4.0,4.1,4.1,4.1
000182,4.2,,,,,
000183,3.8,,,,,
000184,4.5,,,,,
000185,4.4,,,,,
000186,5.0,5.0,4.5,5.0,5.0,4.0
000187,4.0,,,,,
000188,3.5,,,,,
000189,3.5,,,,,
000190,3.9,,,,,
000191,3.9,4.0,4.0,3.5,3.0,3.5
000192,3.4,4.0,3.0,3.0,4.0,3.0
000193,4.3,4.3,4.4,4.0,4.0,3.7
000194,4.3,5.0,5.0,3.0,4.3,5.0
000195,4.8,4.8,4.5,4.5,4.5,3.0
000196,5.0,,,,,
000197,4.2,4.2,4.2,4.2,4.0,
000198,4.0,,,,,
000199,4.1,4.3,3.3,3.8,4.1,3.8
000200,5.0,,,,,
000201,3.8,3.9,3.7,3.7,4.0,3.8
