user_id,overall_rating,food,service,atmosphere,price,drink
000001,4.0,3.5,4.0,4.0,4.5,
000002,3.5,3.5,4.0,4.0,3.5,
000003,3.4,3.4,3.6,3.5,3.3,
000004,4.2,,,,,
000005,3.8,,,,,
000006,4.5,4.5,4.0,4.0,3.5,
000007,3.6,,,,,
000008,3.3,3.3,3.5,3.5,3.0,
000009,3.5,,,,,
000010,4.0,,,,,
000011,4.0,4.0,4.0,4.0,3.5,
000012,3.6,3.6,3.3,3.6,3.9,
000013,3.3,3.5,3.3,3.3,3.0,
000014,4.1,4.0,4.5,4.0,4.0,
000015,4.5,,,,,
000016,4.5,,,,,
000017,4.0,4.0,4.0,4.0,4.0,
000018,3.5,,,,,
000019,3.5,3.7,3.7,3.7,3.3,
000020,3.0,,,,,
000021,3.6,,,,,
000022,3.4,,,,,
000023,3.8,,,,,
000024,3.6,3.6,3.7,3.6,3.7,
000025,4.0,,,,,
000026,3.5,,,,,
000027,3.5,,,,,
000028,3.6,,,,,
000029,3.5,,,,,
000030,3.5,,,,,
000031,3.5,,,,,
000032,4.0,,,,,
000033,4.8,,,,,
000034,3.1,3.2,3.1,3.0,3.0,
000035,3.8,,,,,
000036,4.0,,,,,
000037,3.5,,,,,
000038,4.0,,,,,
000039,3.5,,,,,
000040,3.6,,,,,
000041,3.9,,,,,
000042,4.0,,,,,
000043,5.0,,,,,
000044,5.0,,,,,
000045,3.6,3.6,3.6,3.6,3.6,
000046,4.0,4.0,4.0,4.0,4.0,4.0
000047,3.5,,,,,
000048,4.0,,,,,
000049,5.0,,,,,
000050,3.4,,,,,
000051,3.4,,,,,
000052,4.0,,,,,
000053,4.0,,,,,
000054,4.0,,,,,
000055,5.0,,,,,
000056,3.7,,,,,
000057,3.9,,,,,
000058,3.3,,,,,
000059,3.9,3.9,3.5,3.3,3.1,
000060,2.0,,,,,
000061,4.0,,,,,
000062,3.0,,,,,
000063,3.5,,,,,
000064,3.0,,,,,
000065,3.8,3.8,3.8,3.8,3.7,
000066,4.0,4.2,3.7,4.2,3.9,
000067,4.0,,,,,
000068,3.5,,,,,
000069,3.7,,,,,
000070,4.1,4.1,3.1,3.1,3.4,
000071,3.5,,,,,
000072,1.5,2.5,1.0,1.0,2.0,
000073,3.4,3.3,3.4,3.5,3.3,
000074,3.6,,,,,
000075,4.0,,,,,
000076,3.4,3.4,3.2,3.3,3.4,
000077,3.5,,,,,
000078,3.5,,,,,
000079,4.0,,,,,
000080,3.6,3.7,3.5,3.5,3.5,
000081,3.5,,,,,
000082,3.8,3.9,4.5,4.0,3.5,3.4
000083,3.7,3.7,3.7,3.6,3.6,
000084,3.9,4.0,3.6,4.0,4.5,
000085,4.0,,,,,
000086,4.0,,,,,
000087,3.6,,,,,
000088,3.5,,,,,
000089,3.5,3.5,3.7,3.6,3.6,
000090,4.0,,,,,
000091,3.6,,,,,
000092,3.7,3.7,3.0,3.2,3.2,3.0
000093,5.0,5.0,5.0,5.0,4.0,4.0
000094,3.6,3.5,4.5,4.0,3.5,4.0
000095,4.0,,,,,
000096,4.0,,,,,
000097,4.0,,,,,
000098,3.6,3.6,3.3,3.2,3.5,
000099,3.5,,,,,
000100,3.5,,,,,
000101,4.0,,,,,
000102,4.0,,,,,
000103,3.1,3.2,2.5,3.6,3.3,
000104,4.0,,,,,
000105,3.6,3.6,3.2,3.3,3.6,
000106,4.0,,,,,
000107,4.0,,,,,
000108,3.0,3.0,3.0,4.0,3.5,
000109,3.7,,,,,
000110,3.5,,,,,
000111,3.6,3.6,3.6,3.6,3.6,
000112,3.6,3.5,3.3,3.4,3.0,3.0
000113,3.5,,,,,
000114,3.7,,,,,
000115,3.0,,,,,
000116,4.0,4.5,3.5,4.0,3.5,3.0
000117,3.6,,,,,
000118,3.4,3.4,3.3,3.3,3.3,
000119,3.7,3.7,3.7,3.7,3.7,3.7
000120,3.6,3.6,3.6,3.6,3.6,
000121,3.6,3.6,3.5,3.5,3.5,
000122,3.5,,,,,
000123,4.0,,,,,
000124,4.0,,,,,
000125,3.2,,,,,
000126,3.7,4.0,3.5,3.5,3.3,3.5
000127,3.5,,,,,
000128,4.0,4.0,4.0,4.0,,
000129,4.5,4.5,3.5,4.0,4.5,
000130,3.5,,,,,
000131,3.6,3.6,3.6,3.6,3.5,
000132,3.5,,,,,
000133,3.6,,,,,
000134,3.3,,,,,
000135,3.5,,,,,
000136,5.0,5.0,5.0,5.0,5.0,
000137,3.9,3.8,3.8,3.8,4.0,
000138,3.5,,,,,
000139,5.0,,,,,
000140,3.5,3.5,3.0,3.5,3.5,
000141,4.0,4.0,4.5,4.5,4.0,
