user_id,overall_rating,food,service,atmosphere,price,drink
000001,4.0,,,,,
000002,5.0,5.0,5.0,5.0,5.0,4.0
000003,3.5,,,,,
000004,3.4,,,,,
000005,3.0,,,,,
000006,5.0,,,,,
000007,5.0,,,,,
000008,4.5,,,,,
000009,2.0,,,,,
000011,3.0,,,,,
000012,2.9,,,,,
000013,3.0,,,,,
000014,3.4,3.4,3.4,3.4,3.4,
000015,3.3,,,,,
000016,3.2,3.3,3.3,3.0,3.0,3.2
000017,3.8,4.0,4.0,3.5,3.5,
000018,3.3,4.0,3.5,4.0,4.0,
000019,2.0,,,,,
000020,3.0,,,,,
000021,3.5,,,,,
000022,3.5,,,,,
000023,3.0,3.0,3.0,3.0,3.0,
000024,3.4,3.7,3.4,3.4,3.4,
000025,3.5,,5.0,4.0,3.0,3.0
000026,3.5,4.0,3.5,3.5,3.5,
000027,4.1,4.5,4.0,4.0,4.5,3.5
000028,4.0,,,,,
000030,3.2,,,,,
000031,3.5,,,,,
000032,3.8,,,,,
000033,3.4,,,,,
000034,5.0,,,,,
000035,2.5,,,,,
000036,3.5,3.5,3.0,3.0,3.0,3.0
000037,3.7,,,,,
000038,3.3,3.3,3.5,3.3,3.4,
000040,3.0,,,,,
000041,3.2,,,,,
000042,3.6,3.2,3.0,2.8,2.6,
000043,4.0,,,,,
000044,3.0,,,,,
000045,3.5,,,,,
000046,3.0,,,,,
000047,4.0,,,,,
000048,2.5,,,,,
000049,3.0,,,,,
000050,4.0,,,,,
000051,3.2,3.3,3.2,3.1,3.2,
000052,3.0,,,,,
000053,3.0,3.0,3.0,3.0,3.0,
000054,3.2,3.2,3.2,3.2,3.2,
000055,3.2,3.2,3.2,3.2,3.2,3.2
000056,3.2,,,,,
000057,2.7,3.0,2.5,3.0,2.5,
000058,3.3,3.3,2.5,2.0,3.0,
000059,2.0,3.0,3.0,3.0,2.0,
000060,3.0,3.0,3.0,3.0,3.0,
000061,3.0,3.0,3.0,3.0,,
000062,3.0,3.0,3.5,3.0,2.5,
000064,2.6,2.6,2.6,2.6,2.6,
