user_id,overall_rating,food,service,atmosphere,price,drink
000001,3.8,,,,,
000002,3.7,,,,,
000003,3.0,,,,,
000004,3.7,,,,,
000005,3.7,,,,,
000006,3.4,3.4,3.3,3.4,3.4,3.3
000007,3.2,,,,,
000008,3.6,3.6,,,,
000009,3.2,,,,,
000010,3.3,3.7,2.0,3.7,3.7,
000011,3.6,3.7,3.4,3.5,3.6,3.3
000012,3.5,,,,,
000013,3.0,,,,,
000014,3.0,,,,,
000015,3.3,,,,,
000016,3.2,3.5,1.5,3.5,3.5,3.5
000017,3.0,3.3,3.3,3.2,3.4,3.3
000018,3.5,3.5,3.5,3.5,3.5,3.5
000019,3.0,,,,,
000020,4.0,,,,,
000021,3.5,,,,,
000022,3.4,,,,,
000023,3.4,,,,,
000024,3.0,3.5,2.0,3.0,1.5,
000025,4.0,,,,,
000026,3.0,,,,,
000027,3.0,3.2,2.5,3.0,2.5,
000028,3.3,,,,,
000029,3.3,3.3,3.3,3.5,3.3,3.3
000030,3.2,3.2,3.0,3.3,2.8,
000031,3.0,,,,,
000032,3.3,,,,,
000033,3.2,,,,,
000034,3.0,,,,,
000035,3.4,,,,,
000036,2.7,,,,,
000037,1.0,,,,,
000039,1.0,,,,,
000040,3.6,,,,,
000041,4.0,,,,,
000042,3.2,,,,,
000043,4.5,,,,,
000045,3.5,,,,,
000046,3.4,,,,,
000047,4.0,,,,,
000048,3.5,,,,,
000050,5.0,,,,,
000051,3.4,,,,,
000053,3.5,,,,,
000054,3.7,4.0,3.5,3.5,3.5,3.7
000055,3.4,3.4,3.4,4.0,3.2,
000056,3.3,3.5,3.0,3.2,3.0,
000057,3.7,,,,,
000058,3.4,3.3,3.5,3.5,3.3,3.4
000059,3.4,3.4,3.4,4.0,3.2,
000060,3.3,,,,,
000061,4.0,4.0,3.0,2.5,3.0,
000062,3.8,,,,,
000063,3.5,3.5,3.5,3.5,3.5,
000064,3.7,,,,,
000065,3.9,,,,,
000066,3.4,3.4,3.1,3.4,3.2,
000067,3.3,,,,,
000068,3.5,3.5,3.5,3.5,3.5,
000069,3.5,3.5,3.5,3.5,3.0,
000071,3.5,4.0,1.5,2.5,3.0,3.0
000072,4.0,3.8,4.0,4.0,4.2,
000073,3.5,3.5,3.5,4.0,3.2,
000074,3.5,3.5,4.0,3.5,3.0,
000075,3.5,3.5,3.3,3.6,3.1,
000076,3.2,3.0,3.4,3.5,3.2,
000077,3.0,3.0,3.0,3.0,3.0,
000078,3.5,4.0,3.5,3.5,3.0,3.0
000079,4.0,3.5,4.0,4.0,,
000080,4.0,4.0,4.0,4.0,3.5,3.5
000081,3.5,3.5,3.5,3.5,,
000082,3.0,3.0,3.5,3.5,2.5,
000083,4.0,4.0,3.5,4.5,4.0,
000084,3.0,3.5,2.5,3.0,3.0,
000085,3.5,3.5,3.0,3.5,,
000086,3.1,3.0,3.2,3.2,3.0,3.0
000087,3.5,,,,,
000088,3.5,3.0,4.0,3.5,3.0,
000089,4.0,4.0,3.0,3.5,3.0,3.0
000090,5.0,5.0,5.0,5.0,5.0,5.0
000092,5.0,4.5,4.5,3.5,4.0,4.5
000093,4.0,4.0,4.0,4.0,3.0,
000094,3.5,4.0,4.0,4.0,3.0,4.0
000095,3.7,3.7,3.7,3.0,,
000096,4.5,4.5,5.0,5.0,,
000097,,3.5,3.5,3.5,,
000098,3.2,,,,,
000101,3.5,,,,,
000102,3.4,,,,,
000103,3.4,3.4,3.4,3.4,3.5,
000104,3.5,3.5,4.0,4.0,3.5,
