store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000001,地どり居酒屋　個室宴会　キンクラ 大山店,3.24,東京都内,46,-,,,"￥3,000～￥3,999",3000,3999,317,11,9
00000002,オステリア ラストリカート,3.45,東京都内,213,"￥4,000～￥4,999",4000,4999,"￥6,000～￥7,999",6000,7999,192,5,26
00000003,沖縄料理なんくるないさー ヨドバシAkiba店,3.08,東京都内,17,～￥999,,,"￥3,000～￥3,999",3000,3999,148,14,28
00000004,PRIME TOKYO 新宿野村ビル49F,3.33,東京都内,133,-,,,"￥5,000～￥5,999",5000,5999,166,1,7
00000005,魚がし,3.55,東京都内,140,-,,,"￥10,000～￥14,999",10000,14999,227,5,3
00000006,関西風居酒屋 ええやん！！ 浅草橋本店,3.05,東京都内,4,～￥999,,,"￥3,000～￥3,999",3000,3999,40,15,3
00000007,ALA,3.37,東京都内,166,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,230,3,11
00000008,シュラスコ&シカゴピザ食べ放題 個室肉バル Mission 新宿西口店,3.04,東京都内,86,～￥999,,,"￥2,000～￥2,999",2000,2999,107,24,6
00000009,Mon an 新丸ビル,3.44,東京都内,111,"￥2,000～￥2,999",2000,2999,"￥8,000～￥9,999",8000,9999,91,9,16
00000010,原始焼 まる秀,3.27,東京都内,56,-,,,"￥4,000～￥4,999",4000,4999,219,17,11
00000011,CAFE A LA TIENNE,3.38,東京都内,165,"￥1,000～￥1,999",1000,1999,"￥1,000～￥1,999",1000,1999,63,31,23
00000012,炭火×薪火×レストラン RIDE 品川 天王洲店,3.47,東京都内,368,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,209,15,54
00000013,鶏龍軒,3.42,東京都内,67,～￥999,,,"￥1,000～￥1,999",1000,1999,183,21,19
00000014,まんまるどり 芝浦店,3.21,東京都内,67,-,,,"￥3,000～￥3,999",3000,3999,167,16,10
00000015,銀座 桃の木,3.44,東京都内,66,"￥5,000～￥5,999",5000,5999,"￥8,000～￥9,999",8000,9999,306,32,131
00000016,伊樽飯酒場バルバル 錦糸町北口店,3.46,東京都内,314,"￥2,000～￥2,999",2000,2999,"￥4,000～￥4,999",4000,4999,124,6,11
00000017,えんらい,3.33,東京都内,63,-,,,"￥3,000～￥3,999",3000,3999,176,4,8
00000018,UMINCHU,3.06,東京都内,11,-,,,"￥3,000～￥3,999",3000,3999,52,28,8
00000019,嘉楽料理館,3.24,東京都内,50,～￥999,,,"￥1,000～￥1,999",1000,1999,160,11,31
00000020,大衆和牛酒場 コンロ家 飯田橋店,3.24,東京都内,123,-,,,"￥4,000～￥4,999",4000,4999,160,9,18
00000021,囲炉裏とおばんざい101,3.37,東京都内,81,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,177,2,16
00000022,酒亭赤坂かねさく,3.24,東京都内,86,-,,,"￥6,000～￥7,999",6000,7999,229,7,15
00000023,和牛焼肉 築地牛武 練馬店,3.31,東京都内,49,-,,,"￥3,000～￥3,999",3000,3999,223,16,36
00000024,焼肉かなう,3.33,東京都内,289,-,,,"￥8,000～￥9,999",8000,9999,325,17,19
00000025,神田まぐろ漁港,3.33,東京都内,183,～￥999,,,"￥2,000～￥2,999",2000,2999,220,5,7
00000026,ラメンサ,3.30,東京都内,71,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,93,28,15
00000027,個室と和食 和菜美 八重洲店,3.13,東京都内,72,-,,,"￥3,000～￥3,999",3000,3999,315,55,62
00000028,鮨利﨑 青山,3.61,東京都内,311,-,,,"￥15,000～￥19,999",15000,19999,294,3,24
00000029,大衆酒場 もつ焼き 次世代 渋谷店,3.18,東京都内,61,"￥2,000～￥2,999",2000,2999,"￥2,000～￥2,999",2000,2999,246,19,29
00000030,てんぐ大ホール 水道橋東口店,3.01,東京都内,3,-,,,"￥2,000～￥2,999",2000,2999,26,2,1
00000031,炭焼き 銀座まつもと,3.44,東京都内,208,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,100,5,21
00000032,庄や 新小平店,3.02,東京都内,12,-,,,"￥3,000～￥3,999",3000,3999,63,108,1
00000033,ヤミイチ 高円寺,3.20,東京都内,99,"￥3,000～￥3,999",3000,3999,"￥4,000～￥4,999",4000,4999,337,9,15
00000034,トラットリアイタリア 銀座店,3.40,東京都内,119,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,240,29,19
00000035,ジビエ×ビストロ Lave,3.28,東京都内,89,-,,,"￥6,000～￥7,999",6000,7999,141,0,6
00000036,シェ シミズ,3.13,東京都内,29,"￥4,000～￥4,999",4000,4999,"￥8,000～￥9,999",8000,9999,146,15,12
00000037,つくね・唐揚げ・レモンサワー 手ごね屋 渋谷店,3.28,東京都内,93,～￥999,,,"￥2,000～￥2,999",2000,2999,73,0,5
00000038,くつろぎ・うま酒 かこいや 丸の内二丁目店,3.21,東京都内,316,"￥1,000～￥1,999",1000,1999,"￥8,000～￥9,999",8000,9999,100,26,14
00000039,向島七福すずめの御宿,3.38,東京都内,87,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,205,0,11
00000040,日本料理 縁,3.36,東京都内,71,"￥3,000～￥3,999",3000,3999,"￥6,000～￥7,999",6000,7999,186,29,64
00000041,源源飯店,3.17,東京都内,20,～￥999,,,"￥3,000～￥3,999",3000,3999,119,40,11
00000042,黒毛和牛焼肉 にくじろう 門前仲町店,3.31,東京都内,59,"￥2,000～￥2,999",2000,2999,"￥5,000～￥5,999",5000,5999,130,8,10
00000043,鮮屋,3.41,東京都内,253,-,,,"￥5,000～￥5,999",5000,5999,150,4,5
00000044,牛山道 中野店,3.08,東京都内,41,～￥999,,,"￥3,000～￥3,999",3000,3999,165,4,12
00000045,てけてけ 王子北口駅前店,3.02,東京都内,46,～￥999,,,"￥2,000～￥2,999",2000,2999,114,23,11
00000046,炬屋 EISHIN,3.30,東京都内,89,-,,,"￥6,000～￥7,999",6000,7999,227,9,14
00000047,赤羽 ブタマミレ,3.39,東京都内,109,-,,,"￥3,000～￥3,999",3000,3999,164,9,24
00000048,鳥ごころ 新宿店,3.02,東京都内,15,"￥3,000～￥3,999",3000,3999,"￥3,000～￥3,999",3000,3999,96,7,0
00000049,たん焼き 木むら,3.45,東京都内,245,-,,,"￥5,000～￥5,999",5000,5999,138,5,5
00000050,くずしわしょく 香季庵 日本橋店,3.44,東京都内,179,～￥999,,,"￥5,000～￥5,999",5000,5999,174,65,42
00000051,磯べゑ,3.47,東京都内,257,-,,,"￥5,000～￥5,999",5000,5999,163,11,26
00000052,居酒屋 楽が気 新橋本店,3.37,東京都内,188,～￥999,,,"￥3,000～￥3,999",3000,3999,95,9,26
00000053,しゃぶしゃぶ・すき焼き・ステーキ兜 銀座店,3.02,東京都内,30,-,,,"￥10,000～￥14,999",10000,14999,168,25,4
00000054,大森ホルモン まるみち,3.23,東京都内,104,-,,,"￥4,000～￥4,999",4000,4999,368,36,62
00000055,もつ千 赤坂本店,3.48,東京都内,553,-,,,"￥3,000～￥3,999",3000,3999,103,2,20
00000056,鮨 博多まつもと 八重洲店,3.44,東京都内,201,"￥6,000～￥7,999",6000,7999,"￥15,000～￥19,999",15000,19999,468,4,13
00000057,日暮里 串まる,3.40,東京都内,114,-,,,"￥2,000～￥2,999",2000,2999,172,53,26
00000058,本格焼鳥 五反田富士屋,3.38,東京都内,203,-,,,"￥3,000～￥3,999",3000,3999,299,21,56
00000059,赤坂 鮨 ふくなが,3.59,東京都内,245,-,,,"￥15,000～￥19,999",15000,19999,658,17,48
00000060,居酒屋 晴れ舞亭 水道橋駅前店,3.25,東京都内,81,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,235,9,28
00000061,酒と肴 離れ庵 東京駅店,3.47,東京都内,226,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,109,24,13
00000062,酔処さんぽや,3.00,東京都内,1,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,33,0,0
00000063,焼肉 闘牛門,3.42,東京都内,141,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,255,6,9
00000064,炉ばた情緒 かっこ 荻窪北口店,3.01,東京都内,32,-,,,"￥3,000～￥3,999",3000,3999,126,19,1
00000065,十十六,3.37,東京都内,97,"￥2,000～￥2,999",2000,2999,"￥8,000～￥9,999",8000,9999,179,3,4
00000066,Cafe Habana TOKYO,3.46,東京都内,242,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,139,26,21
00000067,Bar和ごころ赤坂,3.53,東京都内,135,-,,,"￥4,000～￥4,999",4000,4999,226,9,28
00000068,元祖やきとり串八珍 浜松町2号店,3.04,東京都内,35,-,,,"￥2,000～￥2,999",2000,2999,300,2,5
00000069,メソン・セルバンテス,3.45,東京都内,200,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,116,10,8
00000070,大衆酒場 手羽だるま 旗の台店,3.04,東京都内,9,-,,,"￥2,000～￥2,999",2000,2999,100,17,11
00000071,焼肉うしごろ 銀座店,3.71,東京都内,654,"￥8,000～￥9,999",8000,9999,"￥10,000～￥14,999",10000,14999,421,32,37
00000072,あやせ鶏 市ヶ谷店,3.08,東京都内,20,-,,,"￥3,000～￥3,999",3000,3999,44,30,5
00000073,呑兵衛 大森店,3.03,東京都内,23,-,,,"￥3,000～￥3,999",3000,3999,137,14,2
