store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000001,シュラスコ&シカゴピザ食べ放題 個室肉バル Mission 新宿西口店,3.04,東京都内,86,～￥999,,,"￥2,000～￥2,999",2000,2999,107,24,6
00000002,Mon an 新丸ビル,3.44,東京都内,111,"￥2,000～￥2,999",2000,2999,"￥8,000～￥9,999",8000,9999,91,9,16
00000003,神田まぐろ漁港,3.33,東京都内,183,～￥999,,,"￥2,000～￥2,999",2000,2999,220,5,7
00000004,鮨利﨑 青山,3.61,東京都内,311,-,,,"￥15,000～￥19,999",15000,19999,294,3,24
00000005,ジビエ×ビストロ Lave,3.28,東京都内,89,-,,,"￥6,000～￥7,999",6000,7999,141,0,6
00000006,くつろぎ・うま酒 かこいや 丸の内二丁目店,3.21,東京都内,316,"￥1,000～￥1,999",1000,1999,"￥8,000～￥9,999",8000,9999,100,26,14
00000007,日本料理 縁,3.36,東京都内,71,"￥3,000～￥3,999",3000,3999,"￥6,000～￥7,999",6000,7999,186,29,64
00000008,居酒屋 晴れ舞亭 水道橋駅前店,3.25,東京都内,81,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,235,9,28
00000009,焼肉うしごろ 銀座店,3.71,東京都内,654,"￥8,000～￥9,999",8000,9999,"￥10,000～￥14,999",10000,14999,421,32,37
00000010,uogin 新橋店,3.01,東京都内,13,"￥3,000～￥3,999",3000,3999,"￥4,000～￥4,999",4000,4999,33,9,0
00000011,あぶり清水 新宿西口ハルク店,3.16,東京都内,61,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,119,20,13
00000012,田町にセンバネ,3.40,東京都内,211,-,,,"￥5,000～￥5,999",5000,5999,264,8,15
00000013,O'denbar うまみ 新橋,3.08,東京都内,12,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,96,7,40
00000014,三と十,3.48,東京都内,163,-,,,"￥10,000～￥14,999",10000,14999,273,0,12
00000015,アジアンビストロ ローカル,3.06,東京都内,42,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,145,11,30
00000016,Bistro d'ami,3.37,東京都内,105,-,,,"￥6,000～￥7,999",6000,7999,132,2,6
00000017,個室会席 北大路 京橋茶寮 東京駅店,3.27,東京都内,165,"￥3,000～￥3,999",3000,3999,"￥10,000～￥14,999",10000,14999,179,10,27
00000018,すし土風炉 六本木店,3.16,東京都内,46,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,169,5,24
00000019,兜 中目黒 別邸,3.31,東京都内,115,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,89,0,1
00000020,個室居酒屋 茨城の恵み 水戸屋 品川店,3.12,東京都内,72,"￥3,000～￥3,999",3000,3999,"￥3,000～￥3,999",3000,3999,245,12,39
00000021,肉懐石 凜然,3.58,東京都内,296,"￥8,000～￥9,999",8000,9999,"￥15,000～￥19,999",15000,19999,572,57,115
00000022,安老爺炭火蛙鍋 上野店,3.12,東京都内,38,"￥2,000～￥2,999",2000,2999,"￥2,000～￥2,999",2000,2999,110,24,35
00000023,酒場Tokyo,3.16,東京都内,24,～￥999,,,"￥3,000～￥3,999",3000,3999,126,47,13
00000024,GREEN HOUSE by MERCER BRUNCH 二子玉川,3.48,東京都内,459,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,105,9,21
00000025,鶏とセイロ蒸 キンクラ 十条店,3.12,東京都内,23,-,,,"￥3,000～￥3,999",3000,3999,133,15,13
00000026,Strada,3.24,東京都内,38,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,157,155,90
00000027,魚と日本酒 魚バカ一代 新橋本店,3.40,東京都内,229,-,,,"￥4,000～￥4,999",4000,4999,87,3,11
00000028,藁焼き・日本酒 わらやき道場 有楽町,3.02,東京都内,120,-,,,"￥3,000～￥3,999",3000,3999,311,12,9
00000029,麻辣大学 上野本店,3.49,東京都内,473,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,121,4,4
00000030,個室居酒屋 酔月 新宿店,3.09,東京都内,55,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,117,58,8
00000031,手作り居酒屋 たぬき,3.08,東京都内,32,～￥999,,,"￥3,000～￥3,999",3000,3999,138,122,31
00000032,個室会席 北大路 八重洲茶寮,3.25,東京都内,157,"￥3,000～￥3,999",3000,3999,"￥10,000～￥14,999",10000,14999,158,20,28
00000033,焼鶏あきら 中目黒本店,3.48,東京都内,570,-,,,"￥5,000～￥5,999",5000,5999,128,5,12
00000034,焼肉会席 舌牛 銀座店,3.46,東京都内,219,"￥3,000～￥3,999",3000,3999,"￥8,000～￥9,999",8000,9999,183,0,6
00000035,凛音,3.26,東京都内,135,～￥999,,,"￥3,000～￥3,999",3000,3999,88,21,11
